Company Name,Year_Funded,Founded_in,Industry,Round/Series,Amount,Location,About Company,Investors,Revenue 2018,Revenue 2019,Revenue 2020,Revenue 2021,Revenue 2022,Revenue 2023
BlueJack,2018,2017.0,Autonomous Vehicles,Seed,1882534.41,"New Delhi, New Delhi, India",Delhi-based online used vehicles marketplace.,Unknown,2786796.876809373,3295631.068299418,3519228.2710598586,3152950.215966378,3448839.625310617,3844247.9234026675
PregBuddy,2018,2017.0,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",Seed,1229866.32,"Bengaluru, Karnataka, India",PregBuddy is a smart connected care platform for expecting mothers.,Unknown,1726608.9682784474,1943589.9273650304,1826239.5222807864,2354742.393209522,2292654.939118428,2473438.971635938
AgNext Technologies,2018,2017.0,"Agriculture, Analytics, Big Data, Farming",Series A,1615061.87,"Mohali, Punjab, India",AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,Unknown,1769025.0757731893,2632910.100675715,2577318.4012050345,3182136.8485444183,3389966.335254369,3650245.05627915
Mintifi,2018,2017.0,"Financial Services, Lending",Seed,938644.09,"Mumbai, Maharashtra, India",Online lending startup based in Mumbai.,Unknown,1248218.2062651226,1245561.1604123053,1562212.4430996764,1682716.3942563725,1637366.2462047844,1701696.6116233687
Carcrew,2018,2017.0,"Automotive, Marketplace, Online Portals",Seed,825827.69,"Mumbai, Maharashtra, India",India's Online Auto Repair Marketplace,Unknown,982657.0554464988,1170540.4860708544,1212953.2862612733,1433912.2928137071,1360107.4953874582,1829699.1537054046
NicheAI,2018,2017.0,Artificial Intelligence,Angel,690641.08,"Hyderabad, Andhra Pradesh, India",Early stage Artificial Intelligence (AI) start up.,Unknown,977404.7269894297,1171201.4082849005,1259714.3617760465,1354765.3702747142,1441162.1617129594,1709768.922838666
Chariot Tech,2018,2017.0,"Internet of Things, Telecommunications",Seed,1945725.35,"New New Delhi, New Delhi, India",Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,Unknown,2895203.6667145207,3381861.7368197315,2729983.0113781705,3018868.0494095893,3534979.3222062006,3577006.4233576404
Ideal Insurance Brokers/ 121Policy.com,2018,2017.0,Insurance,Seed,1092220.77,"Kolkata, West Bengal, India",Ideal Insurance Broking is one of the leaders in insurance broking domain.,Unknown,1332622.164078125,1861326.8699694916,1785263.3154273245,1686343.635512795,2189804.761198849,2366278.7878316743
Loanzen,2018,2017.0,Financial Services,Seed,1460699.48,"Bengaluru, Karnataka, India",Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,Unknown,1762884.5600148854,2539686.6408885783,2650955.4631097447,2375326.2139122877,2915027.1732785306,2806883.81738317
Mojro Technologies,2018,2017.0,"Information Technology, Logistics, Supply Chain Management",Seed,799075.1,"Bengaluru, Karnataka, India",Mojro envisions to be the world's largest technology-enabled logistics platform.,Unknown,1233880.0226580473,1045885.0812670796,1294491.486049744,1472857.9125984022,1541775.0838138002,1770815.4563765975
Elemential,2018,2017.0,"Blockchain, Developer Tools, Enterprise Software",Seed,969608.42,"Mumbai, Maharashtra, India","Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",Unknown,1108308.785640048,1692950.281138632,1493188.1433980512,1997462.6475888393,2026702.2309272296,2056005.126336437
Yumlane,2018,2017.0,"Food and Beverage, Food Delivery, Snack Food",Series A,1256074.41,"Mumbai, Maharashtra, India",Food startup Yumlane operated by QwikPik Technology,Unknown,1467365.7898056104,1856975.3483348126,2135012.1576684904,1979793.979916431,2725362.45848354,2466888.779821046
Kriger Campus,2018,2017.0,Education,Seed,900566.4,"New New Delhi, New Delhi, India",A Education Start Up.,Unknown,1402980.277303799,1366197.3755862566,1431478.8089008462,1721318.1474715027,1454417.5495991588,1967345.7088818734
Kaleidofin,2018,2017.0,Financial Services,Seed,1652030.14,"Chennai, Tamil Nadu, India",A fintech platform.,Unknown,2689526.580427945,2806410.479290809,2902957.272888401,3404585.640933783,3154186.0898025073,3941908.2155026807
Chakr Innovation,2018,2017.0,Renewable Energy,Seed,1086482.71,"New New Delhi, New Delhi, India",Chakr has developed the world’s first retro-fit emission control device for diesel generators.,Unknown,1566332.0613981928,1801099.8289108574,1540108.999319289,1665496.5712910194,1787777.546701822,2064939.4896746208
IndigoLearn,2018,2017.0,"E-Learning, Education",Seed,1230265.26,"Hyderabad, Andhra Pradesh, India",India's the premier education destination catering to the needs of aspiring students of the CA community.,Unknown,1992901.8174988623,1703212.957568624,2085354.758838848,2102836.280087478,2002943.6991065163,3005473.835175097
UClean,2018,2017.0,"Clean Energy, CleanTech, Laundry and Dry-cleaning",Seed,790509.37,"India, Asia",UClean is a tech enabled laundry service provider.,Unknown,1104776.5424691695,1499333.7224423764,1127965.980479298,1280406.9037385988,1438239.7801077107,1531484.6582311494
Coutloot,2018,2017.0,"E-Commerce, Fashion, Mobile",Seed,1848024.76,"Mumbai, Maharashtra, India",The Fashion Re-commerce platform.,Unknown,2668795.8792243036,2759973.6337393695,2651802.92726881,3230918.8629751722,3070611.781250175,3671826.7021716842
Letstrack,2018,2017.0,"Apps, Messaging, Navigation, Public Safety",Seed,1262281.08,"New New Delhi, New Delhi, India","Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",Unknown,2097997.165010228,2320683.913186209,1768996.4026849193,2294313.6397082205,2363323.536637727,2500222.805158118
Pooltoo,2018,2017.0,Transportation,Seed,901776.69,"New New Delhi, New Delhi, India",Pooltoo offers a premium ride sharing platform.,Unknown,1214206.914523212,1259569.2308569243,1337212.3377050385,1854590.6800604821,1667508.1614922448,1763827.4103592911
Finzy,2018,2017.0,"Financial Services, Lending",Seed,1228948.74,"Bengaluru, Karnataka, India",finzy is the premier peer to peer lending solution in India.,Unknown,1403745.3803815283,1645109.3508102193,2183282.300299613,2417015.5584712904,2453986.0732629895,2674242.0019831234
Fitternity,2018,2017.0,"Fitness, Health Care, Wellness",Seed,1261673.42,"Mumbai, Maharashtra, India",India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,Unknown,1287876.3226488659,1693391.0413001187,2383307.02016553,2173711.990748489,2214976.003642485,2953395.3309933175
Keito,2018,2017.0,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",Seed,1109749.29,"Pune, Maharashtra, India",Building an Intelligent Digital Assistant.,Unknown,1153760.9929038868,1761668.8729438263,2003381.264660264,2172564.4945668723,1874844.4712867264,2363050.0285791014
Tolet for Students,2018,2017.0,Hospitality,Seed,1327192.19,"Jodhpur, Rajasthan, India","Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",Unknown,1718409.475080322,1821452.8224364535,1974527.5415003146,2622299.8945043874,2174056.7955291886,3269810.370231811
Chai Kings,2018,2017.0,"Food and Beverage, Tea",Seed,911780.06,"Chennai, Tamil Nadu, India",Chai Kings is a tea retail chain,Unknown,1351021.4779556845,1514239.3242153572,1651402.998983361,1376309.9481420016,1967624.4707338307,2274511.6383639215
ONGO Framework,2018,2017.0,"B2B, Information Services, Information Technology",Angel,1773629.75,"Hyderabad, Andhra Pradesh, India",ONGO Framework is a B2B IT and digital solution provider.,Unknown,2360246.0861940733,2488210.5484243245,3032111.367572587,3140300.6355627794,3309136.3491645395,3986162.813092334
Notesgen,2018,2017.0,"EdTech, Education, Enterprise Software, Peer to Peer",Seed,1016263.81,"New New Delhi, New Delhi, India",A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,Unknown,1667864.764458865,1744244.2872790163,1727486.3691544284,1934162.00434986,1896961.281838698,2386368.453345515
Arogya MedTech,2018,2017.0,"Health Care, Medical",Seed,1725431.08,"Kolkata, West Bengal, India",Arogya MedTech is a Research & Development organization in Bio-Medical industry.,Unknown,2339419.4511607974,2741085.345653542,3434692.2273080414,3368770.286949583,3678993.801408309,4254940.869260403
Propshop24,2018,2017.0,E-Commerce,Seed,1296354.44,"Mumbai, Maharashtra, India","Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",Unknown,1586057.8033028124,1712723.3108783045,2352226.730808446,2487021.277615155,2346563.8391348985,2469988.8955077752
myUpchar,2018,2017.0,"Health Care, Hospital, Wellness",Series A,1246094.73,"New New Delhi, New Delhi, India",To bring health issues to people in their language.,Unknown,1601658.33693634,1677459.1737332868,2296087.686095255,1992943.6278507672,2335470.9278989527,2896586.6869925405
MissMalini Entertainment,2018,2017.0,—,Seed,1516587.87,"Mumbai, Maharashtra, India","MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",Unknown,2342283.0790305287,2370191.8850055276,2825197.67221018,2982388.070291519,3181794.160137896,2858217.2110226764
Rooter,2018,2017.0,Sports,Seed,1209567.16,"India, Asia",Rooter is a mobile-based platform,Unknown,1908436.108467382,1732287.4473557337,2178298.320841941,2417234.609074435,2058628.9644922637,2180018.5976891373
ZestMoney,2018,2017.0,"Big Data, Consumer Lending, FinTech",Series A,843993.2,"Bengaluru, Karnataka, India",Zest is India's first completely automated consumer digital lending platform.,Unknown,1350307.0554358808,1243971.5493426009,1289774.5665862546,1297188.4310005577,1495597.952903342,1774136.8197859444
alphaics Corporation,2018,2017.0,"Cloud Computing, Computer, Semiconductor",Seed,543666.51,"Bengaluru, Karnataka, India",Advancing AI compute,Unknown,882054.8443254321,823094.7691253612,1039721.1517707737,896977.661138416,1070587.0678670495,1132399.0585132428
MyDentistChoice,2018,2017.0,"Health Care, Medical, Pharmaceutical",Seed,1838625.17,"Hyderabad, Andhra Pradesh, India",MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,Unknown,3103994.395833347,2533778.6607426465,2899728.827271464,3325644.0693053855,3946981.5699240617,3796298.6252476764
Sensibull,2018,2014.0,Trading Platform,Seed,538282.83,"Bengaluru, Karnataka, India",Investment Management Platform,Unknown,787244.3721200443,912312.4773760532,929023.3370410365,1109606.706504794,906958.025508034,1257499.5107796923
Bombay Shaving Company,2018,2017.0,"Consumer Goods, Lifestyle, Men's",Series A,1281005.78,"New New Delhi, New Delhi, India",Bombay Shaving Company is a Men's grooming startup,Unknown,1396711.9264209508,2014969.1781657848,2117763.7245715274,2313723.1262891716,2565608.982632111,2473033.6771981977
MedCords,2018,2014.0,Wellness,Seed,1508008.47,"Pune, Maharashtra, India",Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,Unknown,1995521.7944791703,2726058.5043589,2592952.32987038,2867142.426840408,2887075.4651471837,3622766.7698545507
University Living,2018,2017.0,Education,Seed,1829219.36,"New New Delhi, New Delhi, India",University Living is an online global student housing marketplace.,Unknown,2383851.212497672,2807027.488830568,2853806.4244484557,3610265.9491130626,3047584.2822127384,4292312.8046902
&ME,2018,2014.0,"Food and Beverage, Food Processing, Nutrition",Seed,958028.13,"Bengaluru, Karnataka, India",Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,Unknown,1613934.9407651518,1564897.225156015,1541855.7365349832,1667348.481481198,1561045.2899456427,2049673.4106505367
Enakshi,2018,2004.0,Fashion,Seed,649653.34,"Ahmedabad, Gujarat, India",Enakshi is an online apparel brand for women.,Unknown,745600.1460184559,1222580.112651197,971560.0385105055,987559.8152698684,1297682.7005029966,1269133.4806134512
Ultraviolette Automotive,2018,2017.0,"Automotive, Electric Vehicle, Energy Storage",Series A,971378.9,"Bengaluru, Karnataka, India",Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,Unknown,1570163.951554794,1776441.4547449783,1701408.0028202718,1801615.455451065,1837042.3419537884,2156568.839273194
BUGWORKS Research India,2018,2013.0,"Biotechnology, Life Science, Pharmaceutical, Product Research",Series A,549497.48,"Bengaluru, Karnataka, India",BUGWORKS is a drug discovery company.,Unknown,733730.706580144,764030.528299882,894247.9702654812,992738.0813523008,987901.8516764471,1117402.5790369562
Guardian.in,2018,2017.0,Health Care,Seed,703179.24,"Mumbai, Maharashtra, India",GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,Unknown,1063515.757681336,1314398.9182249366,1277395.995769704,1221291.3095815144,1498611.2655237156,1369616.51629835
PrestLoans,2018,2010.0,"Credit, Financial Services, FinTech, Personal Finance",Seed,1548122.15,"New New Delhi, New Delhi, India","PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",Unknown,2099632.103318111,2618218.404420844,2622738.9524321384,3155673.9655518015,3103247.5967015987,3436418.611499422
Wimoxez,2018,2010.0,Internet,Seed,649349.41,"Hyderabad, Andhra Pradesh, India","Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",Unknown,792975.8365435278,1095765.9129092952,1291792.4775315733,1072652.7095043634,1063791.0703123661,1481798.03346026
India Accelerator,2018,2017.0,"Communities, Coworking, Incubators",Angel,1146661.62,"Gurugram, Haryana, India",India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,Unknown,1780264.327357574,1728703.5219746155,1683752.6159584473,2043435.343393184,2067626.0736080678,2513719.335785803
HappyEMI,2018,2018.0,"Consumer, Financial Services, FinTech",Seed,1339566.24,"Bengaluru, Karnataka, India",HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,Unknown,1778493.6229517243,2449455.5445767497,2258712.915870604,2272127.0421148525,2640632.294885183,3337358.342071171
Wishup,2018,2019.0,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Seed,1148821.6,"Azadpur, New Delhi, India",Premium Personal Assistance service,Unknown,1766321.5965312824,2163962.8984138714,2114682.6594447494,1831948.2501876766,1949505.4799498166,2574213.985211678
Hansel.io,2018,2017.0,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Series A,1565271.44,"Bengaluru, Karnataka, India","Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",Unknown,1858859.0098320828,2873188.416417246,2837645.2878419864,2771179.1061315536,3209561.4704261357,3165965.54324915
Propelld,2018,2017.0,"Education, Financial Services, FinTech",Seed,1177252.53,"Bengaluru, Karnataka, India",Propelld is a student education financing platform.,Unknown,1564910.7103467763,1940578.5810494828,2055524.2701536093,2188681.157290038,2293523.6534604807,2389851.056695996
PivotRoots,2018,2011.0,"Advertising, Consulting, Digital Marketing",Series A,759946.7,"Mumbai, Maharashtra, India",Digital Marketing powered by Data & Technology; fueled by Design thinking,Unknown,784441.5124988719,1271795.7540554604,1155829.814858392,1511021.0623512166,1363208.5381938897,1712028.0227211837
ZiffyHomes,2018,2015.0,"Marketplace, Real Estate, Rental Property",Seed,989835.9,"New New Delhi, New Delhi, India",ZiffyHomes is a technology driven marketplace to find out home on rent.,Unknown,1420011.15542234,1516611.4958136855,1689474.9164021777,1700039.2648496858,1586630.3714477387,2333731.1198135484
Carmesi,2018,2014.0,Health Care,Seed,869695.59,"Gurugram, Haryana, India",Carmesi is a brand of high-end menstrual-hygiene products in India.,Unknown,887320.0197287715,1379132.8505123626,1641047.6272499417,1435211.1202629919,1840219.665535407,1658562.5603609898
OckyPocky,2018,2018.0,"E-Learning, Internet, Video Games",Angel,1553635.96,"Haryana, Haryana, India",OckyPocky is a interactive and personalised language learning app for preschool kids.,Unknown,1556682.8158995162,2257779.741429909,2636173.231618764,2794147.4756505983,2837866.0377619215,3287475.8576552463
Racetrack,2018,2015.0,"Artificial Intelligence, Cloud Computing, Video",Seed,526348.52,"Bengaluru, Karnataka, India","Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",Unknown,632801.1617071129,843739.5381732892,926357.6340404821,825659.9096420966,905959.9862730386,1086562.5100459603
WHR,2018,2018.0,"Health Care, Information Technology",Seed,796824.98,"Pune, Maharashtra, India","WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",Unknown,1185646.038315333,1154243.5211577802,1522570.616489188,1647457.5320445232,1624979.4649039183,1921695.5612243568
Asteria Aerospace,2018,2013.0,Aerospace,Seed,532901.81,"Bengaluru, Karnataka, India",Asteria Aerospace is a robotics and artificial intelligence company.,Unknown,629926.0962382371,956111.2162180066,894390.8568703753,849763.8580593988,860363.0523178683,1183912.215001176
FabAlley,2018,2018.0,"E-Commerce, Fashion, Lifestyle",Series B,1849260.18,"Noida, Uttar Pradesh, India","FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",Unknown,1971717.5109116384,3419427.1993251177,3585900.1328444253,3179756.4719862286,3730836.798300111,4006365.715926419
Tranzmeo,2018,2014.0,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Pre-Seed,552674.16,"Cochin, Kerala, India",Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,Unknown,834586.4794002913,921569.2601100622,908819.9575012253,836754.5199880232,977442.9399404681,1329106.5334772966
SBI Life,2018,2019.0,Insurance,Private Equity,716284.24,"Mumbai, Maharashtra, India",SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,Unknown,868634.3548668498,1334851.920225902,1375338.300948733,1470526.8655248736,1513647.790907777,1486169.1042363567
Studds Accessories,2018,2017.0,E-Commerce,Private Equity,786864.06,"Faridabad, Haryana, India",Studds Accessories is a scooter accessories service provider in India,Unknown,830535.0956596088,1213819.4509025002,1530181.831624342,1207765.5480787929,1470917.3087640237,1727610.8808791419
Design Cafe,2018,2017.0,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",Series B,1468456.66,"Bengaluru, Karnataka, India","Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",Unknown,2221152.570454431,2361143.2650132203,2683951.969259467,2615219.815954165,2856822.9053302743,3420207.968230439
NoPaperForms Solutions Pvt. Ltd.,2018,2015.0,"EdTech, Education, Information Services, SaaS",Series B,1399731.53,"New New Delhi, New Delhi, India","NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",Unknown,2297395.371043264,2276825.0793884336,2215569.057051723,2351697.4516130416,2748041.357421892,2966924.0958209173
Rays Power Infra,2018,2019.0,"Energy, Solar",Venture - Series Unknown,907391.28,"Jaipur, Rajasthan, India",Rays Power Infra is a leading integrated Solar Power Company.,Unknown,1432936.1334738056,1578935.6001119567,1291776.9131798572,1814212.5117425085,1881556.3447716986,1815934.5056692194
AuthMetrik,2018,2017.0,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",Grant,753514.06,"Gurugram, Haryana, India","SaaS, B2B, Security, Stop account sharing, Fraud Detection",Unknown,878179.5409031787,1107560.3702859774,1313480.3805271464,1200754.9262564068,1322219.348921555,1691326.4910406887
Khidki,2018,2017.0,"Artificial Intelligence, Social",Seed,1026130.21,"Bengaluru, Karnataka, India",Vernacular Social Network Focused on Town Level Content and Interactions,Unknown,1143729.5818035724,1468054.8921059489,1996574.9521870238,1819751.7758067846,1964836.2654412305,1877197.604150046
LetsTransport,2018,2014.0,"Logistics, Transportation, Travel",Series B,1810216.99,"Bengaluru, Karnataka, India",Lets transport is a logistics solution provider.,Unknown,2064263.000374903,2964426.3026266904,2860955.1804197766,3103540.1080332245,3970057.8118484085,3405150.4784427704
Next Digital Solutions,2018,2011.0,"Digital Marketing, SEM, SEO, Web Development",Angel,691893.98,"Kota, Rajasthan, India",Next Digital Solutions is website design & Digital Marketing development company.,Unknown,815600.7336135652,1214287.4685032254,1239928.9129562706,1413381.1131186523,1509465.6694666648,1602457.9441856884
Portea Medical,2018,2014.0,"Health Care, Hospital, Medical",Debt Financing,1111184.25,"Bengaluru, Karnataka, India",Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,Unknown,1260210.5546013273,1574951.988775475,1643046.540291597,1714399.0649499837,2195461.847727588,2494258.486387538
Aavas Financiers,2018,2017.0,"Finance, Financial Services",Post-IPO Debt,1237820.02,"Jaipur, Rajasthan, India","Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",Unknown,2042165.4367351097,2306193.027264657,2367835.2933617416,2062536.8748316136,2056192.8304485632,2970590.4697103216
Swiggy,2018,2018.0,"Food Delivery, Food Processing, Internet",Series H,1414462.79,"Bengaluru, Karnataka, India",Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,Unknown,1630193.5015593146,2433908.3438438307,2742409.4430530933,2889567.4455308574,3099154.093413259,2948027.139531368
Milkbasket,2018,2017.0,"E-Commerce, Food and Beverage, Internet",Series A,1567242.74,"Haryana, Haryana, India","Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",Unknown,1954510.5515385272,2198960.6680242387,2408378.40066916,3184436.955539913,2532313.1747048404,2883676.78317199
Nutrisattva (Proliva),2018,2016.0,"Fitness, Food and Beverage, Health Care, Nutrition",Angel,800274.52,"Anand, Gujarat, India",Nutrisattva is a protein innovation compan,Unknown,885968.0686282878,1051659.0215290308,1176053.6923476784,1262499.7936002451,1524724.7874826386,1469445.2894492503
Toppr,2018,2013.0,"EdTech, Education, Knowledge Management",Series C,1320536.84,"Mumbai, Maharashtra, India",Toppr.com is an online preparation platform for entrance exams in India.,Unknown,1477466.6992868544,1892032.4256177028,2010648.0576606952,2188940.6047206153,2477604.1432944615,3108206.242770287
Vivriti Capital,2018,2015.0,Financial Services,Venture - Series Unknown,1571364.62,"Chennai, Tamil Nadu, India",Vivriti Capital is an online platform for institutional debt in India.,Unknown,2140815.0658723637,2646718.721561502,2831954.2682602126,2983401.1215159697,2748286.180742805,3329968.4009485743
