Company Name,Year_Funded,Founded_in,Industry,Round/Series,Amount,Revenue,Location,About Company,Investors
GoBumpr,2018,2018.0,"Automotive, E-Commerce, Mobile",Seed,600000.0,1983678.8690451600,"Mylapore, Tamil Nadu, India",Car Service and Bike Service Mobile App,Unknown
Fixpocket,2018,2014.0,"Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development",Seed,250000.0,764185.7831887770,"Ahmedabad, Gujarat, India",Fixpocket is a internet-based startup.,Unknown
Hashtag Loyalty Private Limited,2018,2015.0,"Analytics, CRM, Loyalty Programs, Machine Learning, Marketing Automation, Retail Technology, SaaS, Small and Medium Businesses",Seed,323398839173535.44,1061233404400480.5,"Mumbai, Maharashtra, India",Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,Unknown
Wow Express,2018,2008.0,"Delivery, Information Technology, Mobile Apps",Series A,4500000.0,8383023.845269780,"Mumbai, Maharashtra, India","WOW, as customers react to his studiously taught, trained, polite and courteous nature.",Unknown
ZunRoof,2018,2019.0,"Environmental Consulting, Renewable Energy",Angel,195294.12,972453.3402533540,"Gurgaon, Haryana, India",ZunRoof is a rooftop focused solar startup.,Unknown
Eggoz,2018,2020.0,"Food and Beverage, Food Processing",Angel,141176.47,346736.43066537600,"Indore, Madhya Pradesh, India",Eggoz is a full-stack layer poultry business operator & service provider .,Unknown
Sqrrl Fintech,2018,2015.0,"Big Data, Business Intelligence, Financial Services, FinTech, Personal Finance",Seed,1000000.0,4191028.7817040700,"Gurgaon, Haryana, India",Personal Finance,Unknown
GalaxyCard,2018,2020.0,"Finance, Financial Services, FinTech",Seed,323398839173535.44,530904139748231.5,"Noida, Uttar Pradesh, India",GalaxyCard is a mobile based Instant credit card.,Unknown
IndiQube,2018,2019.0,"Commercial Real Estate, Coworking, Office Administration, Real Estate",Series A,15000000.0,48460987.03330540,"Bengaluru, Karnataka, India",IndiQube is a provider of co-working spaces based in Bengaluru.,Unknown
EGK Foods,2018,2019.0,"Food and Beverage, Food Processing, Organic Food, Snack Food",Seed,235294.12,482624.7544547770,"Mumbai, Maharashtra, India",A food processing enterprise registered with StartUp India .,Unknown
NirogStreet,2018,2012.0,"Apps, Health Care, Internet, Mobile Apps, Personal Health",Seed,300000.0,578091.229805692,"Gurgaon, Haryana, India",NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Unknown
Pixr8,2018,2020.0,"Digital Media, Incubators, Social Entrepreneurship",Seed,50000.0,111218.50460609100,"Ghaziabad, Uttar Pradesh, India",Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,Unknown
Nivesh.com,2018,2017.0,"Finance, Financial Services, Marketing",Seed,352941.18,894955.3022950410,"Noida, Uttar Pradesh, India",Nivesh.com is a mass market mutual funds investment platform.,Unknown
Theranosis Life Sciences,2018,2018.0,"Biotechnology, Health Care, Life Science, Medical Device",Seed,323398839173535.44,986924277659226.2,"Hyderabad, Andhra Pradesh, India",A fully functioning cell culture facility and molecular biology setup.,Unknown
Poshmiles Online Solutions Private Limited,2018,2011.0,Travel,Seed,323398839173535.44,1296631947703208.5,"Bengaluru, Karnataka, India",Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,Unknown
Reculta,2018,2018.0,"Education, Human Resources",Seed,323398839173535.44,615147961897063.2,"Noida, Uttar Pradesh, India",A campus recruitment solution provider.,Unknown
Orbo.ai,2018,2015.0,Internet,Seed,323398839173535.44,863000441980839.5,"Mumbai, Maharashtra, India",Orbo is a computer vision and deep facial technology company.,Unknown
Inntot Technologies,2018,2018.0,Consumer Electronics,Seed,323398839173535.44,997028553008253.5,"Kochi, Kerala, India","Inntot Technologies, is a technology driven company.",Unknown
Zoctr Health,2018,2018.0,"Apps, Health Care, Hospital, Mobile Apps",Seed,323398839173535.44,840123898311083.6,"Powai, Assam, India",Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,Unknown
Hey Deedee,2018,2015.0,"Delivery Service, Logistics, Service Industry",Seed,388235.29,1764359.2373282700,"Mumbai, Maharashtra, India",Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,Unknown
DigiConnectt Technologys,2018,2018.0,"Information Services, Information Technology",Seed,125000.0,235518.775247531,"Bengaluru, Karnataka, India",A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,Unknown
Locus.sh,2018,2015.0,"Big Data, Data Visualization, Logistics, Software",Series A,4000000.0,10588460.839328600,"Bengaluru, Karnataka, India",Locus is an intelligent logistics automation platform.,Unknown
Sports Flashes Pvt. Ltd,2018,2012.0,"Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball",Seed,1000000.0,4487950.39824687,"New Delhi, Delhi, India","Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",Unknown
Inc42,2018,2015.0,"Media and Entertainment, News, Publishing",Seed,323398839173535.44,1163696653218080.2,"New Delhi, Delhi, India",Inc42 is one of the leading tech media publications of India.,Unknown
Picxy,2018,2017.0,Internet,Seed,130000.0,260006.45317018100,"Guntur, Andhra Pradesh, India","A stock photo startup based in Amravati, Andhra Pradesh.",Unknown
Huddle,2018,2018.0,Consulting,Seed,300000.0,1403892.3437528100,"Haryana, Haryana, India",A coworking incubator Company.,Unknown
Benepik,2018,2014.0,Human Resources,Seed,323398839173535.44,1429018636405233.0,"Gurgaon, Haryana, India",HR Technology start-up.,Unknown
Cash Suvidha,2018,2020.0,Finance,Seed,1000000.0,3471300.399481810,"New Delhi, Delhi, India",Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,Unknown
Smartcoin,2018,2019.0,"Big Data, Financial Services, Machine Learning, Predictive Analytics",Seed,2000000.0,8177281.9088546800,"Bengaluru, Karnataka, India",Providing financial access to the millions of mobile users in India using alternative credit assessment,Unknown
Carmel Organics,2018,2019.0,"Agriculture, AgTech, Manufacturing",Series A,323398839173535.44,1208008353185747.8,"Indore, Madhya Pradesh, India","Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",Unknown
Roadcast,2018,2006.0,—,Angel,250000.0,901909.7656852710,"New Delhi, Delhi, India",Transforming the way businesses deliver. Work-force & fleet mobility tools.,Unknown
